startup_name,industry,business_model,current_stage,country,funding_target,team_size,founder_experience,problem_statement,target_customers,key_competitors,gtm_strategy
Axle Health,Biotech,B2B,Seed,US,16723660,8,Intermediate,Drug discovery is slow and expensive.,Healthcare Companies,"Moderna, Biocon",Clinical Partnerships
Capacitive,Enterprise,B2B,Idea,US,2203730,3,Intermediate,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
Caviar,Advertising,Freemium,Series B,US,595868510,159,Experienced,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
Opzi,Software,SaaS,Growth,US,398898856,112,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
David AI,Software,SaaS,Idea,Unknown,1667090,2,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
ZeroDown,Enterprise,B2B,Series B,US,402685997,166,Intermediate,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
Pideaky,Software,SaaS,Growth,MX,442855628,177,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
FirstQuadrant,Software,SaaS,Series B,US,739927689,94,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
TetraScience,Software,SaaS,Prototype,US,715401198,76,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Paribus,Enterprise,B2B,Seed,US,15507866,8,Intermediate,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
lapzo,Software,SaaS,Growth,MX,240715604,61,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Science Exchange,Software,SaaS,Idea,US,1062119,4,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Cribspot,Software,SaaS,Growth,US,662791215,131,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Artos,Software,SaaS,Idea,Unknown,3485665,5,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Epsilon3,Software,SaaS,Series A,US,76569143,48,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Taiv,Advertising,Freemium,Growth,CA,895929261,138,Experienced,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
FlexDesk,Software,SaaS,Seed,US,14141295,8,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Recover,Software,SaaS,Series B,Unknown,348842982,128,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Cinder,Enterprise,B2B,Prototype,US,665504641,155,Intermediate,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
Quary,Software,SaaS,Idea,GB,3904895,3,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Conductor Quantum,Software,SaaS,Growth,US,639863418,168,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Restocks,Software,SaaS,Growth,US,751929487,73,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Infracost,Software,SaaS,Idea,Unknown,3024456,3,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Turing Labs Inc.,Ecommerce,Marketplace,Prototype,US,359055331,83,Intermediate,Online sellers struggle with customer acquisition.,Online Customers,"Flipkart, Amazon, Meesho",Digital Marketing
Zinc,Education,Subscription,Series B,US,227226810,61,Intermediate,Students need engaging digital learning.,Students,"BYJU'S, Unacademy, PhysicsWallah",Campus Ambassador Program
Hatchet,Software,SaaS,Seed,US,14975993,6,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Parker,Software,SaaS,Series A,US,89402915,41,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Thinkature,Software,SaaS,Seed,Unknown,14236424,10,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
NURX,Advertising,Freemium,Prototype,US,531702679,85,Intermediate,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
PicnicHealth,Software,SaaS,Series B,US,747256713,154,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Kunduz,Software,SaaS,Growth,TR,471718161,134,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Posh,Software,SaaS,MVP,US,492414366,124,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Abel Police,Software,SaaS,Growth,Unknown,458791802,153,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
GoCardless,Advertising,Freemium,Idea,GB,3557382,3,Intermediate,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
BlindPay,Software,SaaS,Growth,Unknown,676347089,141,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
SalaryBook,Software,SaaS,MVP,IN,831473845,162,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Goodybag,Software,SaaS,Growth,US,651452363,169,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
SalaryBook,Software,SaaS,Growth,IN,468086849,198,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Potion,Software,SaaS,MVP,US,354883527,166,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Omnara,Software,SaaS,Series A,US,70777184,33,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Datasaur,Software,SaaS,Idea,US,3598010,2,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Excellence Learning,Biotech,B2B,Growth,US,570909407,124,Experienced,Drug discovery is slow and expensive.,Healthcare Companies,"Moderna, Biocon",Clinical Partnerships
Stackq,Software,SaaS,Seed,Unknown,7915005,5,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Carousel Technologies,Software,SaaS,MVP,US,739749701,181,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Arcane,Software,SaaS,Idea,US,2596610,4,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
AirHelp,Software,SaaS,Idea,Unknown,1232495,4,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Mecho Autotech,Enterprise,B2B,Idea,NG,2801797,2,Intermediate,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
VetRec,Software,SaaS,MVP,US,778099518,195,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
EasyPost,Software,SaaS,Prototype,US,816168091,191,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Cheqout,Software,SaaS,Seed,US,22486796,8,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Onfolk,Software,SaaS,Series A,GB,175274479,46,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Continue,Software,SaaS,Prototype,US,813729575,167,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
7cups,Software,SaaS,Prototype,US,831263766,183,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Weekday,Software,SaaS,Idea,IN,3468896,4,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Eden Farm,Enterprise,B2B,MVP,ID,550676840,171,Experienced,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
Andi,Software,SaaS,Prototype,US,392040169,158,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Crimson,Software,SaaS,Growth,Unknown,439822601,195,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Slashy,Software,SaaS,MVP,US,962889500,136,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Cosine,Software,SaaS,Growth,US,262829116,151,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Kiwify,Ecommerce,Marketplace,Prototype,BR,210373292,197,Intermediate,Online sellers struggle with customer acquisition.,Online Customers,"Flipkart, Amazon, Meesho",Digital Marketing
ContextFort,Software,SaaS,MVP,US,991351271,184,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Forage,Software,SaaS,Series A,US,163133494,43,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
CapWay,Software,SaaS,Series B,US,417198098,170,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Curacel,Games_Video,B2C,Seed,NG,20619379,9,Intermediate,Players demand better gaming experiences.,Gamers,"Dream11, MPL",Influencer Marketing
Diffuse Bio,Software,SaaS,Prototype,US,619898063,197,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Wagetap,Games_Video,B2C,Idea,AU,4740681,3,Intermediate,Players demand better gaming experiences.,Gamers,"Dream11, MPL",Influencer Marketing
Ridecell,Software,SaaS,Idea,US,2959674,4,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Rosebud AI,Software,SaaS,Series B,US,964057406,108,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Expent Inc,Software,SaaS,Prototype,US,771987442,142,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Trace,Software,SaaS,Growth,US,579015274,107,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Stably AI,Software,SaaS,Prototype,US,593356086,167,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
voize,Software,SaaS,Series A,DE,82847348,53,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
SingleStore,Software,SaaS,MVP,US,284450622,80,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Oncobox,Software,SaaS,Seed,US,5051424,14,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Benchmark,Software,SaaS,Series A,US,111648191,40,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Double,Software,SaaS,Seed,US,27000015,5,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
CollectWise,Advertising,Freemium,Series A,Unknown,102843539,42,Intermediate,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
Echodio,Software,SaaS,Growth,US,753777867,110,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Bakool,Software,SaaS,Seed,ID,8008527,5,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Peoplebox,Software,SaaS,Seed,US,27545274,11,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Looklive,Software,SaaS,Prototype,US,789641610,165,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Bystreet,Software,SaaS,Prototype,US,905783868,147,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
"Elphinstone, Inc.",Games_Video,B2C,Seed,PK,27873610,6,Intermediate,Players demand better gaming experiences.,Gamers,"Dream11, MPL",Influencer Marketing
Venta AI,Biotech,B2B,Seed,Unknown,10986233,7,Intermediate,Drug discovery is slow and expensive.,Healthcare Companies,"Moderna, Biocon",Clinical Partnerships
Pyq AI,Software,SaaS,Seed,US,20400660,13,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Cinapse,Software,SaaS,Growth,US,250771633,166,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
14.ai,Software,SaaS,MVP,US,766424562,180,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
PARES AI,Software,SaaS,Prototype,US,560478762,67,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Novaflow,Software,SaaS,Idea,US,3780474,3,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Meson,Software,SaaS,Growth,SG,250702907,116,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Gantto,Software,SaaS,Prototype,US,843114687,130,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Cotera,Software,SaaS,Seed,GB,17587166,14,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Appcanary,Software,SaaS,Idea,CA,1263854,5,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Logarithm Labs,Ecommerce,Marketplace,MVP,US,871875818,65,Intermediate,Online sellers struggle with customer acquisition.,Online Customers,"Flipkart, Amazon, Meesho",Digital Marketing
Airweave,Software,SaaS,Seed,US,23893636,7,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Preloop,Software,SaaS,Series A,Unknown,116434399,35,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Skope,Advertising,Freemium,Idea,US,4043383,3,Intermediate,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
YourQuote,Enterprise,B2B,Seed,IN,26459250,15,Intermediate,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
PicnicHealth,Software,SaaS,Growth,US,340210427,198,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Finley,Software,SaaS,Prototype,US,763132010,182,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Baraka,Games_Video,B2C,Series B,AE,886364443,105,Intermediate,Players demand better gaming experiences.,Gamers,"Dream11, MPL",Influencer Marketing
Assembly HOA,Software,SaaS,Growth,US,384160285,190,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Epicenter,Software,SaaS,Series A,US,109107269,37,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Verse Medical,Software,SaaS,MVP,US,358984913,147,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Lumi,Advertising,Freemium,Seed,US,7181061,12,Intermediate,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
Wolfia,Software,SaaS,Series B,US,556039943,200,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Truora,Software,SaaS,MVP,CO,937934615,60,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
OffDeal,Software,SaaS,MVP,US,482990852,194,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
WayUp,Software,SaaS,Series B,US,687425301,159,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Fobo,Software,SaaS,MVP,US,725195590,132,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Onebrief,Software,SaaS,Series A,US,78909728,24,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Nuvola,Software,SaaS,Seed,US,9055544,14,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Paragon,Software,SaaS,Idea,US,4386101,5,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Axiom.ai,Games_Video,B2C,Growth,GB,325039295,161,Experienced,Players demand better gaming experiences.,Gamers,"Dream11, MPL",Influencer Marketing
iollo,Software,SaaS,Series B,US,333099361,116,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Vogent,Software,SaaS,Idea,US,1645266,4,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Ridecell,Software,SaaS,Idea,US,1792793,3,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Soon,Software,SaaS,Idea,US,2940971,3,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
T3 Chat,Software,SaaS,Series A,US,58355052,20,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
CreatorML,Advertising,Freemium,Growth,US,226253941,133,Intermediate,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
Nomiku,Software,SaaS,Prototype,US,472234660,153,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Seam,Software,SaaS,MVP,US,361791002,104,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Apprentice Health,Enterprise,B2B,MVP,US,949392984,121,Intermediate,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
Bonsai,Software,SaaS,Idea,US,1179185,5,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Olark,Software,SaaS,Seed,US,21152227,8,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Quell,Software,SaaS,Growth,GB,539232958,133,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
NetBeez,Software,SaaS,Series A,US,79561527,57,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Lokal,Software,SaaS,Series A,IN,130720067,45,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Protocol Labs,Software,SaaS,Growth,US,563355830,159,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Strada,Software,SaaS,Prototype,US,617664501,130,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Lilia,Software,SaaS,MVP,US,798198605,120,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Atomwise,Software,SaaS,Series A,US,128225956,60,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Carbic,Software,SaaS,Series B,US,735314515,192,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Userfox,Software,SaaS,MVP,US,421628009,74,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
stagewise,Software,SaaS,Growth,Unknown,200930649,162,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Cowlar,Software,SaaS,Growth,US,740734570,149,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Sable,Software,SaaS,Prototype,US,471303041,112,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Hellosaurus,Software,SaaS,MVP,US,614712601,78,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Red Barn Robotics,Games_Video,B2C,Seed,Unknown,16648248,8,Experienced,Players demand better gaming experiences.,Gamers,"Dream11, MPL",Influencer Marketing
Sygaldry Technologies,Software,SaaS,Prototype,Unknown,307476315,191,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
telli,Ecommerce,Marketplace,Idea,DE,2547183,2,Experienced,Online sellers struggle with customer acquisition.,Online Customers,"Flipkart, Amazon, Meesho",Digital Marketing
Cardamon,Software,SaaS,MVP,US,744386479,133,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Kiwi Biosciences,Software,SaaS,Prototype,US,433566534,153,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
UpKeep,Biotech,B2B,Growth,US,549513257,157,Intermediate,Drug discovery is slow and expensive.,Healthcare Companies,"Moderna, Biocon",Clinical Partnerships
Bonsai,Software,SaaS,Idea,US,3093634,4,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Codes Health,Software,SaaS,MVP,US,380520751,143,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Spoil,Software,SaaS,Series A,US,154913299,39,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Hogaru,Games_Video,B2C,Series A,CO,153292194,52,Intermediate,Players demand better gaming experiences.,Gamers,"Dream11, MPL",Influencer Marketing
Sunflower,Enterprise,B2B,Seed,US,22818415,9,Intermediate,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
Vayable,Software,SaaS,Idea,US,3580273,5,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Simetrik,Software,SaaS,Series A,CO,112951374,27,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Joy,Software,SaaS,MVP,US,903118775,164,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Engines,Software,SaaS,MVP,US,554081460,77,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Bitnami,Software,SaaS,MVP,US,775763911,109,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Signatur Biosciences,Advertising,Freemium,Series A,GB,143179044,52,Intermediate,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
Quill,Software,SaaS,Series B,US,490100612,137,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Canopy Labs,Software,SaaS,Growth,US,624375999,183,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Janus,Software,SaaS,Growth,US,918133372,183,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Defer,Software,SaaS,Growth,FR,452253242,179,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
SendHub,Software,SaaS,MVP,US,964644705,171,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Storia AI,Software,SaaS,Seed,US,25411892,14,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Clipboard Health,Software,SaaS,Prototype,Unknown,804270357,157,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
PagerDuty,Advertising,Freemium,Seed,US,28302330,10,Intermediate,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
Feroot Security,Software,SaaS,Growth,CA,707884618,152,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Heyfood,Software,SaaS,MVP,NG,465735629,115,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Sourcepulse,Software,SaaS,Growth,FR,797512494,82,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Vena Vitals,Advertising,Freemium,Seed,US,17073553,9,Experienced,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
Gym Class - by IRL Studios,Ecommerce,Marketplace,MVP,US,981962557,97,Intermediate,Online sellers struggle with customer acquisition.,Online Customers,"Flipkart, Amazon, Meesho",Digital Marketing
Riley,Software,SaaS,Idea,US,3670749,5,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Lark,Software,SaaS,MVP,US,637491346,167,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Variance,Biotech,B2B,Seed,US,24498733,14,Intermediate,Drug discovery is slow and expensive.,Healthcare Companies,"Moderna, Biocon",Clinical Partnerships
Podium,Software,SaaS,MVP,US,276913212,158,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
trii,Software,SaaS,Seed,US,24446290,14,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
T3 Chat,Software,SaaS,Idea,US,2967170,3,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Blink,Software,SaaS,Series A,IT,166480950,43,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
EnvKey,Software,SaaS,Seed,US,13735181,6,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Mixr,Games_Video,B2C,Seed,CA,13031730,13,Intermediate,Players demand better gaming experiences.,Gamers,"Dream11, MPL",Influencer Marketing
